Rank,Team,G,Plays,Yds,Yds/Play,OFF TDs,YPG
1,Ohio St.,8,532,4385,8.24,43,548.1
2,Virginia,9,683,4907,7.18,44,545.2
3,Western Ky.,8,591,4276,7.24,41,534.5
4,Ole Miss,8,638,4252,6.66,40,531.5
5,Pittsburgh,8,628,4234,6.74,44,529.2
6,Coastal Carolina,8,495,4181,8.45,46,522.6
7,SMU,8,599,4033,6.73,43,504.1
8,Marshall,8,610,4027,6.6,38,503.4
9,Wake Forest,8,581,3963,6.82,42,495.4
10,Alabama,8,583,3952,6.78,43,494
11,Florida,8,571,3867,6.77,34,483.4
12,North Carolina,8,561,3862,6.88,37,482.8
13,Fresno St.,9,670,4337,6.47,38,481.9
14,Oklahoma,9,592,4293,7.25,47,477
15,Utah St.,8,645,3803,5.9,27,475.4
16,Nebraska,9,632,4231,6.69,36,470.1
17,Baylor,8,526,3732,7.1,36,466.5
18,Arkansas,8,562,3722,6.62,32,465.2
19,App State,8,567,3716,6.55,33,464.5
20,Memphis,8,567,3701,6.53,31,462.6
21,Tennessee,8,584,3658,6.26,38,457.2
22,Michigan,8,574,3652,6.36,35,456.5
23,Nevada,8,574,3652,6.36,32,456.5
24,Missouri,8,573,3622,6.32,33,452.8
25,Auburn,8,561,3617,6.45,29,452.1
26,Duke,8,620,3615,5.83,25,451.9
27,Kent St.,8,609,3604,5.92,28,450.5
28,Southern California,8,576,3596,6.24,27,449.5
29,Texas,8,536,3586,6.69,40,448.2
30,Louisville,8,565,3584,6.34,27,448
31,Central Mich.,8,615,3581,5.82,27,447.6
32,Liberty,9,604,4008,6.64,46,445.3
33,Michigan St.,8,520,3557,6.84,32,444.6
34,Oregon,8,548,3545,6.47,37,443.1
35,UTSA,8,594,3530,5.94,33,441.2
36,Miami (FL),8,582,3523,6.05,32,440.4
37,BYU,9,591,3953,6.69,36,439.2
38,Tulsa,8,560,3510,6.27,22,438.8
39,Oregon St.,8,521,3496,6.71,35,437
40,TCU,8,523,3493,6.68,30,436.6
41,Western Mich.,8,607,3450,5.68,30,431.2
42,Maryland,8,565,3449,6.1,29,431.1
43,Texas Tech,9,576,3877,6.73,36,430.8
44,Iowa St.,8,517,3426,6.63,29,428.2
45,Arizona St.,8,510,3416,6.7,32,427
46,Mississippi St.,8,611,3402,5.57,27,425.2
47,East Carolina,8,585,3401,5.81,27,425.1
48,Louisiana,8,548,3401,6.21,33,425.1
49,Buffalo,9,681,3826,5.62,37,425.1
50,California,8,553,3390,6.13,24,423.8
51,UCF,8,550,3377,6.14,38,422.1
52,Georgia,8,499,3365,6.74,34,420.6
53,Georgia Tech,8,533,3341,6.27,27,417.6
54,Fla. Atlantic,8,553,3334,6.03,32,416.8
55,NC State,8,555,3332,6,31,416.5
56,Utah,8,536,3332,6.22,33,416.5
57,Hawaii,9,631,3740,5.93,29,415.6
58,UCLA,9,649,3739,5.76,36,415.4
59,Syracuse,9,613,3736,6.09,34,415.1
60,Cincinnati,8,492,3301,6.71,41,412.6
61,Arkansas St.,8,582,3278,5.63,23,409.8
62,North Texas,8,649,3258,5.02,24,407.2
63,Colorado St.,8,615,3230,5.25,17,403.8
64,West Virginia,8,554,3224,5.82,27,403
65,Army West Point,7,497,2800,5.63,33,400
66,Northern Ill.,8,554,3184,5.75,25,398
67,Texas A&M,8,527,3169,6.01,25,396.1
68,Air Force,8,574,3167,5.52,31,395.9
69,South Alabama,8,561,3159,5.63,29,394.9
70,Oklahoma St.,8,583,3157,5.42,27,394.6
71,UTEP,8,536,3148,5.87,21,393.5
72,FIU,8,511,3136,6.14,24,392
73,Florida St.,8,510,3129,6.14,30,391.1
74,Notre Dame,8,562,3113,5.54,29,389.1
75,Tulane,8,559,3100,5.55,30,387.5
76,Charlotte,8,543,3098,5.71,25,387.2
77,Purdue,8,608,3093,5.09,20,386.6
78,Georgia St.,8,559,3083,5.52,25,385.4
79,Miami (OH),8,516,3078,5.97,23,384.8
80,Louisiana Tech,8,542,3075,5.67,23,384.4
81,LSU,8,542,3056,5.64,29,382
82,New Mexico St.,8,621,3051,4.91,23,381.4
83,Toledo,8,522,3017,5.78,23,377.1
84,Ga. Southern,8,562,3003,5.34,20,375.4
85,Penn St.,8,560,3001,5.36,24,375.1
86,Washington St.,9,597,3375,5.65,30,375
87,UAB,8,489,2995,6.12,23,374.4
88,Houston,8,555,2988,5.38,33,373.5
89,Eastern Mich.,8,537,2981,5.55,32,372.6
90,Boise St.,8,576,2971,5.16,25,371.4
91,Minnesota,8,524,2960,5.65,27,370
92,Kentucky,8,491,2930,5.97,26,366.2
93,Kansas St.,8,471,2909,6.18,26,363.6
94,Ohio,8,484,2881,5.95,19,360.1
95,Troy,8,533,2876,5.4,26,359.5
96,South Fla.,8,550,2860,5.2,20,357.5
97,Boston College,8,542,2850,5.26,23,356.2
98,Wisconsin,8,561,2826,5.04,20,353.2
99,Old Dominion,8,600,2825,4.71,19,353.1
100,Washington,8,536,2823,5.27,21,352.9
